id,date,product,quantity,price
0177,2025-10-27,Eco Dicionário 94,33,161.92
0178,2025-12-13,Giga Fone 88,16,205.93
0179,2025-09-16,Premium Pack 6,45,200.19
0180,2025-06-26,Basic Kit 25,37,482.92
0181,2025-10-09,Elite Bicicleta 17,12,261.60
0182,2025-08-20,Eco Dicionário 60,23,314.02
0183,2026-04-16,Eco Pack 88,23,309.38
0184,2026-01-21,Mini Café 96,5,240.59
0185,2025-11-30,Pro Pack 71,36,204.43
0186,2026-05-15,Ultra Set 98,22,254.23
0187,2025-05-29,Ultra Crema 4,25,289.51
0188,2025-08-19,Eco Set 65,10,74.33
0189,2026-04-02,Premium Set 29,27,146.31
0190,2026-05-01,Maxi Tênis 23,45,85.20
0191,2026-05-18,Basic Kit 10,9,212.03
0192,2025-07-16,Eco Kit 37,32,389.64
0193,2025-11-11,Mini Tênis 20,19,152.90
0194,2025-10-16,Elite Fone 55,47,304.58
0195,2025-08-20,Premium Pack 70,48,283.57
0196,2025-12-18,Smart Sofá 85,10,336.15
0197,2025-06-14,Basic Sofá 71,37,103.03
0198,2026-04-16,Eco Crema 46,12,472.01
0199,2025-08-07,Giga Dicionário 10,34,106.13
0200,2025-11-13,Premium Café 53,33,488.15
0201,2026-05-12,Pro Sofá 45,18,212.87
0202,2026-02-22,Maxi Fone 1,44,208.92
0203,2026-04-12,Mini Crema 43,18,418.80
0204,2025-11-12,Maxi Tênis 60,4,382.06
0205,2025-09-06,Eco Set 77,13,258.41
0206,2026-01-14,Mini Crema 75,25,453.29
0207,2025-08-14,Smart Set 5,32,259.81
0208,2025-11-08,Eco Kit 57,19,370.86
0209,2025-07-29,Elite Crema 34,13,178.74
0210,2026-02-02,Pro Fone 95,17,8.55
0211,2026-04-08,Elite Sofá 86,32,463.03
0212,2025-09-14,Smart Kit 55,14,455.05
0213,2025-09-23,Ultra Sofá 46,24,65.06
0214,2025-12-17,Premium Tênis 98,9,273.62
0215,2025-08-29,Smart Dicionário 13,48,339.77
0216,2025-09-19,Elite Crema 65,7,158.53
0217,2026-01-02,Elite Crema 37,7,172.93
0218,2026-03-03,Maxi Bicicleta 76,49,235.58
0219,2025-11-26,Elite Sofá 51,27,276.67
0220,2025-12-03,Elite Tênis 7,2,181.84
0221,2026-02-08,Mini Set 71,24,476.51
0222,2026-01-27,Elite Kit 56,13,98.32
0223,2025-07-01,Giga Set 83,33,286.48
0224,2025-07-13,Elite Kit 28,31,293.82
0225,2025-12-10,Eco Dicionário 42,43,43.90
0226,2026-03-16,Pro Kit 85,31,128.46
0227,2026-02-11,Mini Tênis 89,49,190.26
0228,2026-03-27,Elite Set 34,14,466.53
0229,2026-04-16,Mini Sofá 76,35,248.55
0230,2026-03-12,Pro Café 27,46,292.81
0231,2026-02-18,Smart Sofá 96,31,342.73
0232,2026-05-21,Basic Set 15,44,125.33
0233,2026-04-29,Eco Dicionário 47,22,189.95
0234,2025-05-27,Elite Sofá 35,36,351.52
0235,2026-04-03,Ultra Tênis 71,43,156.99
0236,2025-12-06,Elite Tênis 26,33,65.00
0237,2026-01-10,Maxi Set 48,38,250.81
0238,2025-08-29,Mini Tênis 64,15,193.44
0239,2025-07-26,Mini Bicicleta 19,28,342.60
0240,2025-12-03,Smart Dicionário 1,34,142.72
0241,2026-04-08,Giga Sofá 57,17,285.34
0242,2026-02-14,Eco Sofá 71,33,18.79
0243,2025-07-15,Maxi Sofá 37,25,31.36
0244,2026-01-08,Mini Dicionário 36,10,30.36
0245,2025-09-25,Ultra Kit 97,21,13.60
0246,2026-03-28,Giga Pack 74,47,269.13
0247,2025-12-11,Premium Dicionário 34,43,309.97
0248,2026-02-20,Pro Tênis 55,12,152.18
0249,2025-12-16,Premium Pack 17,7,415.47
0250,2026-03-22,Elite Set 89,43,262.08
0251,2026-02-02,Premium Tênis 6,4,408.83
0252,2025-10-15,Smart Sofá 99,46,29.26
0253,2026-02-16,Mini Café 58,33,497.82
0254,2026-05-17,Giga Bicicleta 49,25,221.20
0255,2025-12-09,Pro Sofá 83,2,476.12
0256,2025-07-11,Pro Set 35,45,443.58
0257,2025-07-04,Basic Tênis 3,19,75.29
0258,2025-09-23,Basic Café 79,4,325.80
0259,2026-01-18,Pro Set 4,22,312.21
0260,2026-02-01,Mini Tênis 52,20,421.64
0261,2025-08-28,Basic Café 23,46,382.41
0262,2025-06-12,Giga Tênis 15,23,137.13
0263,2025-05-29,Mini Kit 82,29,455.69
0264,2025-10-13,Giga Set 7,20,343.13
0265,2026-02-10,Maxi Fone 28,14,434.98
0266,2025-11-23,Ultra Pack 94,29,402.64
0267,2025-12-05,Eco Bicicleta 8,30,374.55
0268,2025-08-08,Premium Fone 88,4,450.25
0269,2026-02-17,Giga Café 51,18,464.61
0270,2025-09-13,Ultra Set 8,26,93.62
0271,2026-01-05,Elite Kit 42,49,127.54
0272,2025-06-20,Giga Dicionário 46,25,206.46
0273,2025-06-09,Eco Bicicleta 57,29,351.32
0274,2025-12-06,Mini Dicionário 80,13,417.73
0275,2025-07-09,Smart Tênis 23,31,445.48
0276,2025-12-10,Mini Sofá 44,30,190.04
0277,2025-06-29,Giga Set 29,24,311.93
0278,2025-08-04,Smart Tênis 8,42,78.19
0279,2025-11-12,Giga Tênis 65,41,437.03
0280,2025-10-18,Mini Dicionário 83,34,479.35
0281,2025-10-04,Giga Fone 98,48,78.82
0282,2026-04-29,Elite Kit 3,49,222.49
0283,2026-04-11,Maxi Pack 25,38,292.21
0284,2026-05-04,Eco Café 98,42,217.79
0285,2026-03-12,Maxi Crema 45,16,346.38
0286,2025-09-25,Eco Dicionário 69,28,132.85
0287,2025-08-25,Smart Café 93,49,407.76
0288,2025-10-14,Pro Crema 65,2,465.40
0289,2026-05-02,Basic Bicicleta 39,15,416.29
0290,2026-03-21,Ultra Dicionário 41,16,270.50
0291,2025-06-28,Maxi Crema 88,22,27.62
0292,2025-06-23,Eco Kit 19,47,437.50
0293,2025-08-13,Basic Kit 62,16,453.26
0294,2026-04-27,Basic Fone 13,17,225.66
0295,2025-10-11,Giga Fone 67,39,446.74
0296,2026-04-14,Maxi Bicicleta 80,2,124.37
0297,2025-10-01,Basic Tênis 77,43,414.26
0298,2025-08-02,Eco Set 19,8,56.14
0299,2025-11-14,Smart Bicicleta 5,26,462.91
0300,2025-07-05,Maxi Sofá 41,35,140.16
0301,2025-07-14,Premium Fone 74,16,379.43
0302,2026-02-26,Premium Dicionário 19,39,296.36
0303,2025-06-14,Mini Café 81,6,391.64
0304,2025-07-11,Pro Kit 94,38,227.13
0305,2025-10-14,Smart Set 65,49,57.75
0306,2026-02-01,Maxi Dicionário 75,13,265.12
0307,2026-04-15,Ultra Pack 67,14,373.06
0308,2025-10-24,Ultra Tênis 12,29,80.74
0309,2026-01-12,Basic Sofá 65,1,218.14
0310,2025-08-31,Elite Pack 23,18,184.45
0311,2026-05-05,Elite Kit 40,22,296.85
0312,2026-03-30,Mini Bicicleta 91,7,191.09
0313,2025-08-04,Ultra Bicicleta 26,35,187.23
0314,2025-07-27,Basic Tênis 21,30,227.46
0315,2025-10-10,Premium Tênis 6,28,49.52
0316,2026-01-29,Elite Bicicleta 54,26,376.66
0317,2025-10-31,Mini Bicicleta 57,45,213.31
0318,2025-11-02,Mini Fone 25,11,334.93
0319,2025-11-25,Smart Kit 54,39,226.34
0320,2025-11-14,Eco Pack 18,47,426.33
0321,2026-05-16,Mini Kit 22,6,408.95
0322,2025-09-21,Smart Dicionário 17,10,48.89
0323,2026-01-11,Maxi Tênis 36,39,393.35
0324,2025-09-04,Basic Café 2,3,213.10
0325,2026-04-06,Giga Set 33,31,150.59
0326,2025-12-21,Maxi Tênis 88,4,444.22
0327,2025-08-22,Basic Bicicleta 41,23,127.10
0328,2025-08-16,Giga Fone 37,21,428.49
0329,2025-11-04,Basic Sofá 64,32,391.86
0330,2026-04-28,Elite Dicionário 42,39,80.80
0331,2025-07-03,Smart Tênis 78,9,14.46
0332,2025-08-12,Pro Dicionário 85,7,354.35
0333,2025-08-15,Pro Kit 98,29,29.68
0334,2025-09-09,Elite Tênis 86,32,350.45
0335,2025-12-13,Basic Bicicleta 48,32,37.57
0336,2025-07-12,Premium Set 65,12,100.52
0337,2025-12-30,Pro Crema 9,19,32.30
0338,2026-04-12,Smart Fone 72,35,31.42
0339,2025-07-05,Pro Set 17,26,371.12
0340,2026-02-09,Ultra Fone 16,34,307.53
0341,2026-01-20,Basic Bicicleta 14,28,76.53
0342,2026-02-14,Maxi Dicionário 24,18,54.58
0343,2025-06-20,Eco Tênis 84,46,202.81
0344,2026-04-25,Basic Tênis 78,29,477.10
0345,2026-01-14,Smart Crema 64,12,389.31
0346,2025-09-11,Eco Dicionário 59,47,241.83
0347,2025-12-24,Ultra Crema 94,31,403.58
0348,2025-12-28,Eco Sofá 1,33,230.10
0349,2025-05-31,Premium Kit 55,25,448.76
0350,2025-06-02,Pro Kit 80,14,120.83
0351,2026-05-19,Smart Sofá 60,47,189.58
0352,2026-04-13,Elite Crema 92,29,367.83
0353,2025-07-21,Pro Café 62,46,476.39
0354,2026-02-15,Giga Sofá 85,43,374.49
0355,2026-05-25,Basic Dicionário 39,46,341.32
0356,2025-09-21,Ultra Set 17,36,272.97
0357,2026-04-01,Maxi Set 13,42,328.91
0358,2025-10-13,Giga Dicionário 83,7,5.22
0359,2025-12-13,Elite Crema 27,47,233.89
0360,2026-01-09,Maxi Bicicleta 87,40,12.91
0361,2025-08-27,Mini Café 40,46,27.18
0362,2025-12-14,Maxi Bicicleta 92,34,68.70
0363,2025-11-04,Eco Crema 97,14,91.71
0364,2025-09-01,Maxi Sofá 69,8,245.44
0365,2025-07-07,Ultra Café 13,14,316.80
0366,2026-05-01,Ultra Crema 9,46,142.11
0367,2025-10-01,Ultra Pack 53,2,295.34
0368,2026-03-30,Eco Set 55,14,174.25
0369,2025-06-03,Smart Fone 94,47,151.67
0370,2025-06-17,Basic Pack 52,4,225.66
0371,2025-08-15,Ultra Pack 72,12,30.57
0372,2026-03-20,Giga Café 9,37,56.62
0373,2025-11-29,Elite Crema 49,5,314.66
0374,2025-07-27,Eco Café 20,47,386.14
0375,2025-07-16,Giga Crema 50,29,437.66
0376,2025-07-29,Premium Café 29,13,139.13
0377,2025-11-30,Smart Fone 66,45,33.18
0378,2025-10-10,Mini Tênis 21,30,146.82
0379,2025-07-12,Premium Kit 35,2,101.40
0380,2025-07-23,Smart Fone 39,31,337.27
0381,2025-06-30,Premium Tênis 40,33,401.20
0382,2025-12-04,Ultra Pack 78,13,249.00
0383,2026-03-13,Giga Tênis 88,42,106.74
0384,2025-09-13,Smart Café 7,23,194.68
0385,2025-12-05,Elite Pack 34,14,13.09
0386,2025-08-11,Maxi Dicionário 88,17,440.49
0387,2025-09-15,Smart Café 12,33,20.60
0388,2025-09-08,Pro Kit 49,2,36.26
0389,2025-11-05,Elite Dicionário 44,42,15.22
0390,2025-11-29,Ultra Kit 18,35,216.08
0391,2025-07-18,Giga Fone 46,22,159.48
0392,2025-07-21,Ultra Café 82,42,434.11
0393,2025-12-04,Premium Bicicleta 60,42,299.20
0394,2026-02-02,Premium Café 80,35,163.18
0395,2026-02-18,Eco Dicionário 48,43,484.16
0396,2026-05-19,Giga Pack 76,33,259.60
0397,2025-12-04,Pro Bicicleta 67,44,481.42
0398,2025-11-04,Mini Sofá 38,8,471.67
0399,2025-08-12,Premium Crema 49,7,209.55
0400,2025-06-10,Eco Fone 49,3,219.06
0401,2025-06-20,Pro Café 90,33,347.49
0402,2026-02-25,Premium Fone 28,20,429.74
0403,2026-05-08,Basic Set 10,40,193.02
0404,2025-11-08,Pro Dicionário 40,2,215.66
0405,2025-12-24,Basic Café 64,46,374.24
0406,2026-04-26,Mini Crema 70,25,363.29
0407,2025-08-23,Premium Café 12,8,445.67
0408,2025-11-26,Mini Pack 81,50,192.92
0409,2026-02-04,Smart Kit 31,14,399.41
0410,2025-08-13,Eco Bicicleta 35,22,201.42
0411,2026-04-20,Elite Kit 51,17,127.46
0412,2026-03-09,Ultra Tênis 53,24,429.09
0413,2026-01-07,Pro Fone 73,8,297.57
0414,2026-03-19,Mini Fone 1,9,493.98
0415,2026-01-07,Maxi Café 35,21,491.50
0416,2025-09-19,Basic Tênis 9,33,279.21
0417,2025-10-09,Basic Dicionário 22,48,24.97
0418,2025-10-28,Eco Crema 11,17,120.23
0419,2026-02-27,Giga Café 84,12,324.04
0420,2025-12-26,Ultra Sofá 39,1,108.61
0421,2025-08-12,Basic Set 90,37,193.42
0422,2026-04-10,Eco Café 76,39,14.24
0423,2026-01-25,Ultra Café 88,5,115.05
0424,2026-01-25,Basic Tênis 96,8,302.40
0425,2025-06-08,Mini Pack 99,37,251.15
0426,2025-10-18,Elite Kit 8,28,70.03
0427,2025-11-16,Basic Set 50,44,87.07
0428,2026-04-05,Basic Bicicleta 2,9,459.43
0429,2026-02-27,Eco Crema 18,3,429.62
0430,2025-06-08,Mini Set 49,14,475.63
0431,2026-01-11,Ultra Café 69,45,62.03
0432,2026-05-06,Giga Kit 62,27,174.98
0433,2026-04-28,Basic Bicicleta 39,25,338.57
0434,2025-10-05,Smart Kit 99,23,404.96
0435,2026-05-23,Eco Crema 17,9,26.58
0436,2025-10-16,Giga Fone 32,33,176.57
0437,2026-01-16,Giga Tênis 40,41,302.06
0438,2025-08-18,Elite Set 71,15,96.96
0439,2025-11-04,Maxi Café 54,2,288.30
0440,2025-09-15,Smart Bicicleta 8,24,242.29
0441,2026-01-28,Elite Set 86,12,442.77
0442,2026-04-01,Eco Set 10,28,110.08
0443,2025-06-19,Pro Crema 77,12,418.56
0444,2026-04-12,Basic Tênis 66,27,478.58
0445,2026-05-19,Eco Kit 32,28,285.56
0446,2025-09-29,Eco Fone 69,38,12.68
0447,2026-02-01,Maxi Set 15,5,360.88
0448,2025-06-05,Smart Pack 43,29,171.66
0449,2025-07-17,Mini Set 61,44,200.00
0450,2025-06-02,Basic Tênis 52,28,291.72
0451,2025-08-18,Basic Set 25,4,336.64
0452,2025-12-25,Premium Bicicleta 50,25,251.37
0453,2025-12-24,Giga Café 62,3,170.74
0454,2025-08-15,Maxi Set 94,3,46.06
0455,2025-06-24,Maxi Sofá 75,41,217.24
0456,2026-04-10,Smart Set 66,19,235.51
0457,2025-08-26,Mini Sofá 52,32,230.62
0458,2026-01-31,Giga Bicicleta 44,12,488.31
0459,2025-11-05,Pro Set 22,31,108.30
0460,2026-02-04,Maxi Sofá 9,21,53.80
0461,2025-08-20,Pro Sofá 43,12,397.29
0462,2025-07-09,Mini Sofá 46,10,66.75
0463,2026-01-09,Premium Fone 93,29,159.06
0464,2025-11-05,Maxi Sofá 13,23,285.46
0465,2026-03-13,Pro Pack 15,13,311.96
0466,2026-02-17,Ultra Set 46,9,280.89
0467,2026-03-26,Premium Tênis 4,4,145.30
0468,2025-10-12,Elite Set 20,3,437.95
0469,2026-05-16,Smart Crema 33,31,261.66
0470,2025-05-31,Smart Bicicleta 32,14,285.71
0471,2026-01-06,Eco Kit 53,6,42.73
0472,2025-06-28,Basic Dicionário 95,12,371.62
0473,2026-04-20,Pro Café 64,4,260.74
0474,2025-10-23,Pro Sofá 87,9,376.11
0475,2026-01-16,Mini Dicionário 56,40,83.32
0476,2025-06-07,Pro Tênis 84,31,193.96
0477,2025-08-27,Premium Crema 45,1,483.54
0478,2025-08-11,Maxi Sofá 11,14,269.20
0479,2026-05-21,Pro Tênis 70,35,493.77
0480,2025-09-05,Ultra Fone 73,40,458.54
0481,2026-01-23,Mini Bicicleta 29,27,386.11
0482,2025-06-08,Ultra Kit 87,35,482.80
0483,2026-01-13,Giga Set 76,8,259.84
0484,2025-12-23,Basic Café 48,40,467.96
0485,2026-02-15,Maxi Tênis 39,31,498.77
0486,2026-05-15,Basic Crema 12,35,487.24
0487,2026-04-25,Smart Pack 38,11,259.31
0488,2025-08-17,Maxi Kit 15,13,242.14
0489,2025-05-30,Mini Pack 90,22,154.20
0490,2025-06-15,Basic Sofá 77,7,454.75
0491,2025-11-17,Ultra Crema 31,16,185.90
0492,2026-02-01,Pro Sofá 30,38,427.94
0493,2026-04-18,Ultra Set 2,41,351.27
0494,2025-07-11,Mini Pack 40,23,402.65
0495,2025-12-28,Eco Kit 26,39,420.32
0496,2026-05-10,Smart Café 58,46,363.26
0497,2026-02-27,Smart Crema 50,1,117.82
0498,2025-12-01,Eco Kit 72,16,340.98
0499,2026-01-10,Elite Sofá 10,14,130.53
0500,2025-12-24,Elite Sofá 87,23,221.07
0501,2025-08-26,Eco Kit 66,7,446.76
0502,2026-05-25,Ultra Sofá 62,20,257.54
0503,2025-07-12,Giga Set 32,18,277.08
0504,2026-01-02,Mini Café 83,3,108.57
0505,2025-12-25,Ultra Bicicleta 58,4,17.69
0506,2026-03-19,Elite Sofá 82,25,232.69
0507,2026-04-05,Maxi Set 54,4,159.42
0508,2025-06-01,Pro Kit 44,30,431.38
0509,2025-05-31,Elite Crema 13,33,183.52
0510,2026-03-23,Eco Pack 3,34,226.89
0511,2026-04-13,Ultra Tênis 74,3,410.42
0512,2026-03-07,Pro Dicionário 44,37,180.16
0513,2025-09-13,Mini Dicionário 27,49,58.82
0514,2026-05-15,Basic Crema 86,38,139.61
0515,2025-08-02,Giga Pack 75,46,342.83
0516,2025-07-22,Giga Crema 77,45,187.23
0517,2026-03-27,Mini Fone 14,3,18.53
0518,2025-10-02,Giga Bicicleta 72,33,254.90
0519,2025-09-15,Mini Dicionário 69,27,57.60
0520,2025-09-07,Pro Tênis 2,27,177.95
0521,2026-01-23,Basic Bicicleta 35,29,68.12
0522,2025-06-20,Smart Dicionário 74,41,261.37
0523,2025-07-22,Basic Crema 6,24,190.23
0524,2025-12-17,Premium Sofá 8,14,285.42
0525,2025-12-27,Elite Fone 47,45,237.76
0526,2025-07-14,Eco Kit 88,26,17.24
0527,2026-01-12,Smart Pack 13,45,77.78
0528,2026-03-01,Giga Kit 48,42,156.86
0529,2026-05-06,Smart Pack 30,36,319.77
0530,2026-01-08,Giga Set 47,18,244.54
0531,2026-04-26,Giga Kit 2,20,213.82
0532,2025-11-19,Eco Kit 38,33,71.79
0533,2025-08-04,Premium Dicionário 72,42,143.04
0534,2025-07-26,Elite Kit 24,8,131.13
0535,2026-01-10,Eco Tênis 95,27,395.28
0536,2025-09-05,Eco Tênis 30,29,182.42
0537,2025-08-07,Smart Kit 38,16,100.86
0538,2026-03-10,Smart Fone 63,17,425.33
0539,2025-10-15,Pro Sofá 50,49,155.23
0540,2025-07-09,Smart Tênis 96,19,399.05
0541,2026-05-15,Mini Fone 26,47,94.32
0542,2026-05-10,Maxi Pack 29,15,65.07
0543,2026-05-13,Pro Dicionário 46,10,140.46
0544,2025-07-15,Premium Kit 75,50,209.68
